what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713319483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713369171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713371358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713371702
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713374640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713379796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413713384608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713385327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713392280
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1413713392312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413713394140
opened,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713394608
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713394765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713406593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413713413405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713414187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713420530
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1413713420546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713424390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713571796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713574858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713574874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713574937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713596405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413713597952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713606062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713607640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713615702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713652874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713666249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713668780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713668780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713668843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713677890
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413713681765
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713683515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713703890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713717358
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713719718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713725358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713726655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713726655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713726687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713773671
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413713780483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713784765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713784812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713784827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713792202
started,bundle,runjettyrun.jetty7,1.3.3.201203161919,"runjettyrun.jetty7",1413713792687
started,bundle,runjettyrun.jetty8,1.3.3.201203161919,"runjettyrun.jetty8",1413713792702
started,bundle,runjettyrun,1.3.3.201203161919,"runjettyrun",1413713792749
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1413713792874
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1413713793843
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1413713793921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413713794733
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1413713803530
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1413713803530
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1413713803608
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1413713803608
started,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1413713803827
started,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1413713803905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1413713805655
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713816452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413713818858
opened,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713820249
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713820437
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1413713830343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713831452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413713845374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713847843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713849858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1413713849890
opened,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713862655
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413713862827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713865843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713887265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713892937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713892952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713893015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413713981874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1413713983265
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1413713983890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413713984093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413713985077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413713993843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1413714000624
